title,paragraphs,uuid,summary,link
SYSK Selects: Have all the good ideas already been discovered?,"support for stuff you should know is brought to you by TD Ameritrade with TD Ameritrade  You get everything you need to become a smarter investor  Get help from knowledgeable professionals, get customizable tools, get investing education designed just for you  Get no hidden fees and no trade minimums  Get smarter with TD Ameritrade  We're smart investors  Get smarter  Member S I P C Hey, everybody  It's me, Josh  And for this week's s by S  K selects I've chosen an episode from 2010",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," Have all the good ideas been discovered? Ah, it's an interesting one and a strange way it ties into the planned obsolescence episode we released recently, even though it was recorded almost 10 years before  And I want to make a note  It's possible that the listener male person who wrote in in this episode actually predicted the coming of the wildly popular site  Damn you, auto Correct  Proved me wrong at any rate, enjoyed this episode  Welcome to step  You should know a production of my heart radios how stuff works",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," Hey, and welcome to the podcast on Josh Clark  With me, as always, is Charles W  Chuck Bryant  And that makes this stuff you should know  That's right  Yes, it is not  Other imitators don't have many times  I've said that  That makes this stuff you should know  No, that's just the whole spiel  A whole opening  Hey, welcome to the podcast  Well, you've said it about 270 sometimes  I think luckily, we have them all saved  Could count  We D'oh! I don't know if it's lucky, though  Chuck  That's a lot of shows  Dude",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," We should do something special for 300  That's like that's a lot of shows  It ISS that makes me proud  Okay, Well, do you think maybe we could get some cake around here or something? That shrimp cocktail for the love of Pete? No, I'm allergic to shrimp now, remember? I know, but I still like to throw it out there  Actually, Dix, I eat a shrimp want on the other day, and nothing happened  Really? All right, Ada want time with shrimp and nothing happened  So it was just like, tiny little bits of shrimp",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," And I don't know either that or I'm getting stronger  Maybe so superhuman  You might say trans human  Speaking of human  Yes  Um, Chuck, there is a Ah, recent study that came out in part from one of our universities here in this city  Emery, right down the street grade school  There's been this problem that's been plaguing researchers for a really long time  And that is at the beginning of the lower Paleolithic period, which is about 2 7 million years ago  Okay, we started using sharp rocks as bashing and cutting tools  Okay, so we figured that out",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," OK, you can take a rock  That's technology  Sure  That's not horse  That's technology  Yes  OK, you can take this rock, and you can use it to open a coconut or the head of someone who's wrong  Do you using an implement to complete attack? Well, specifically, sharp rocks  Okay  It took two million years the end of the lower Paleolithic period before we figured out that we could actually attention handles to these things in tournament along it  Yes  Wow",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," And this is baffled scientists like, how could it possibly have taken two million years to go from using your hand to attaching a stick? You know? Sure, if this doesn't make any sense  So, um Well, they were dumb back then  Well, a dumb is close to it  They would literally We're lacking the region of the brain needed  Apparently, according to this new study, um, they the basically we developed a region in the right hemisphere, specifically the super a marginal gyros which allowed us to g o I  Let's put a handle on this",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," And after we did that, we moved out of Africa and started colonizing the rest of the world so that they pinpointed the region of the brain that is specific to innovation to specific Thio Stone tool making  Okay, I thought you meant innovation in general  No, like, that's where your ideas come from  No  Give me a second  All right, Shoot  Did I ruin it? It's okay  Okay  Um, so we go from can't figure out how to attach a handle to a sharp rock  Okay",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," Two million years, we figure that out, we leave Africa, and we start colonizing the rest of world, and all of a sudden, things start entering light speed, right? And it seems like over the last a couple 100 years, you know, especially since the industrial revolution, our ability to innovate, to grasp new ideas, to understand the world around us  sure has just been hitting this hyper speed  And a lot of people wonder if we've reached the point where all the ideas, all the good ones, at least have already been discovered",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
SYSK Selects: Have all the good ideas already been discovered?," All the we understand how everything works and there's really just figuring out how to dot the I's and cross the tease right? Right  There was actually a guy who famously said in 18 99 a guy named Charles Buell  I love this quote  Here's a He was wth economy xin er of the patents office  It's attributed to him, I should say, but he said something like everything that could be invented has already been invented  And he said this in a memo, basically saying like, you should go ahead and shut down the patent office",a99e0858-6066-406d-9c85-c754b10bae33,"It's no secret that human beings have an obsession with innovation -- but has our species already found every good idea? As Josh and Chuck break down the continuing search for the next great idea, they touch on everything from hand tools to cancer cures.
 Learn more about your ad-choices at https://news.iheart.com/podcast-advertisers",https://www.podtrac.com/pts/redirect.mp3/traffic.megaphone.fm/HSW8053144615.mp3
